MutationType	variable	value	adjusted_count	type	tumor	region	rloop
totalSNV	DO45147	6	0.843297834242502	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45149	8	1.12439711232334	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45151	14	1.96769494656584	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45153	18	2.52989350272751	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45155	11	1.54604602944459	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45157	4	0.562198556161668	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45159	5	0.702748195202085	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45161	15	2.10824458560626	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45163	23	3.23264169792959	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45165	10	1.40549639040417	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45167	5	0.702748195202085	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45169	21	2.95154241984876	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45171	6	0.843297834242502	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45173	19	2.67044314176792	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45175	10	1.40549639040417	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45177	10	1.40549639040417	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45179	12	1.686595668485	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45181	14	1.96769494656584	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45183	11	1.54604602944459	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45185	9	1.26494675136375	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45187	3	0.421648917121251	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45189	4	0.562198556161668	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45191	6	0.843297834242502	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45193	16	2.24879422464667	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45197	9	1.26494675136375	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45199	17	2.38934386368709	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45201	16	2.24879422464667	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45203	28	3.93538989313168	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45205	12	1.686595668485	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45207	21	2.95154241984876	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45209	14	1.96769494656584	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45211	7	0.983847473282919	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45213	9	1.26494675136375	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45215	8	1.12439711232334	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45217	10	1.40549639040417	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45219	7	0.983847473282919	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45221	6	0.843297834242502	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45223	2	0.281099278080834	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45225	13	1.82714530752542	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45227	14	1.96769494656584	rloop_tss	ICGC_Liver	tss	rloop
totalSNV	DO45229	12	1.686595668485	rloop_tss	ICGC_Liver	tss	rloop
